# 
# This file contains the parameter values of the Design Points successfully updated by Ansys Workbench.
# Project name: design
# Creation date: 02/16/2026 17:38:55
# 
# 02/16/2026 17:38:55
# The parameters defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5
DP 0,20,0.9,0.899999999999998,17
# 
# A non parametric change occurred and invalidated design point results.
# 02/16/2026 18:05:51
# 
# 
# 02/16/2026 18:12:37
# Parameters have been added and/or removed. The parameters now defined in the project are:
# ,P1 - beam_height [mm],P4 - beam_width_1 [mm],P3 - beam_width_2 [mm],P5 - beam_length [mm],P6 - fillet_size [mm],P7 - Total Deformation Reported Frequency [Hz],P8 - Total Deformation 2 Reported Frequency [Hz],P9 - Total Deformation 3 Reported Frequency [Hz],P10 - Total Deformation 4 Reported Frequency [Hz],P11 - Directional Deformation Maximum [mm],P12 - Equivalent Stress Maximum [MPa]
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P4,P3,P5,P6,P7,P8,P9,P10,P11,P12
DP 0,5,0.4,0.4,12.25,0.1,92.099200641665661,689.05278133324009,720.654131310054,1080.8145970978403,0.29560652375221252,6.6489441221772756
DP 0,5,0.4,0.4,14.5,0.1,75.209550709624864,609.14800976683443,623.9523547494839,708.27775517475084,0.44567930698394775,6.7549731036695464
DP 0,5,0.4,0.4,10,0.1,114.16425202493862,771.74834508230026,854.54875686414937,1441.3259612512281,0.19157767295837402,6.0350219446099356
DP 0,5,0.4,0.4,12.25,0.1,91.92139266146981,688.71107197677975,720.29808319208644,1064.7111836282188,0.29683467745780945,6.1884728511791227
DP 0,5,0.4,0.4,14.5,0.1,75.3158408385509,608.45054684109266,624.5280087247063,701.35476908402006,0.44455736875534058,6.9071344402638584
DP 0,5,0.4,0.4,16.75,0.1,66.325511656253056,493.19523482284393,551.17484789583216,567.638236876093,0.57644391059875488,6.271589165020897
DP 0,8.75,0.4,0.4,10,0.1,149.6622058542753,1086.2364768638174,1122.46671970376,1448.7327851367168,0.11169815808534622,5.9150063609386789
DP 0,8.75,0.4,0.4,12.25,0.1,101.87612896804116,968.92635781028469,992.4092962793685,1352.4517780823751,0.24100419878959656,5.6515820885625763
DP 0,8.75,0.4,0.4,14.5,0.1,91.971989665686678,847.96701617194253,916.65057553672648,1059.0343845842528,0.2969667911529541,5.8426415940925827
DP 0,8.75,0.4,0.4,16.75,0.1,75.352993011106619,734.20865847054972,824.20516705246575,842.00397157283908,0.443681001663208,5.48101790996847
DP 0,5,0.4,0.4,10,0.1,114.00436959083483,771.56908899423672,854.32719299759844,1441.4169083548074,0.19210842251777649,5.925296798224748
DP 0,5,0.4,0.4,12.25,0.1,92.077011781022179,688.93626208422836,720.79626540981621,1073.9098558658436,0.29578125476837158,6.4385256030898361
DP 0,5,0.4,0.4,14.5,0.1,75.196925504844614,610.00748024999677,624.24565364125988,713.79305949443847,0.44574561715126038,6.3573938742931517
DP 0,5,0.4,0.4,16.75,0.1,66.334782775574723,496.01140658424379,553.19783861034512,567.49054113479508,0.576117992401123,6.0192658989848429
DP 0,8.75,0.4,0.4,10,0.1,149.66220585588547,1086.2364768635805,1122.4667197055853,1448.7327851374946,0.11169815808534622,5.9150063618753705
DP 0,8.75,0.4,0.4,12.25,0.1,101.8761289647466,968.92635780863884,992.40929627941364,1352.4517780812002,0.24100419878959656,5.6515820885625763
DP 0,8.75,0.4,0.4,14.5,0.1,91.971989664703571,847.96701617196163,916.65057553683368,1059.0343845841655,0.2969667911529541,5.8426415940925827
DP 0,5,0.4,0.4,10,0.1,114.12673920908681,771.873378647011,854.81497894104871,1443.6750508033022,0.19167821109294891,6.0343560055680863
DP 0,5,0.4,0.4,12.25,0.1,91.905552356432409,688.8481587759145,720.27040108950155,1057.7166303698011,0.29694971442222595,6.2673193696167528
DP 0,5,0.4,0.4,14.5,0.1,75.272537213071033,610.39804028632489,624.242774883351,719.01951389729959,0.44476956129074097,6.4203134756088795
DP 0,5,0.4,0.4,10,0.1,114.11084599788593,771.12433392931916,854.64661375653282,1442.2691268438257,0.19173337519168854,6.0707955213791953
DP 0,5,0.4,0.4,12.25,0.1,91.971961005053046,688.52941865565219,719.95487602599508,1055.064607993532,0.29653102159500122,6.56677550751571
